"","Ck.2","Ck.3","Ck.4","Ck.5","Ck.6","Ck.7","Ck.8","Ck.9","Ck.10","alg"
"1",0.7899,0.8217,0.7647,0.6457,0.5661,0.5863,0.61,0.6001,0.5932,1
"2",0.8279,0.4643,0.7807,0.6653,0.6423,0.7229,0.6042,0.6479,0.6632,1
"3",0.857,0.4905,0.8182,0.6429,0.5753,0.5633,0.6231,0.649,0.5528,1
"4",0.8308,0.8013,0.7701,0.4663,0.5934,0.6161,0.5637,0.559,0.5844,1
"5",0.7544,0.4708,0.7507,0.6398,0.6248,0.5856,0.5627,0.5595,0.5886,1
"6",0.7051,0.6875,0.6995,0.6232,0.6459,0.6488,0.5275,0.5998,0.5983,1
"7",0.7699,0.6528,0.7683,0.5309,0.6818,0.6628,0.5535,0.608,0.5745,1
"8",0.797,0.6793,0.7991,0.731,0.5911,0.5884,0.5928,0.6272,0.5276,1
"9",0.8518,0.5827,0.6753,0.7305,0.7429,0.6293,0.6189,0.6051,0.576,1
"10",0.8502,0.8233,0.7774,0.7133,0.6226,0.6471,0.5704,0.5967,0.6065,1
"11",0.859,0.8363,0.7813,0.6619,0.5336,0.5734,0.6191,0.5915,0.6026,1
"12",0.8174,0.4854,0.7887,0.6861,0.6862,0.5797,0.6291,0.6209,0.5809,1
"13",0.8897,0.4461,0.7946,0.6491,0.5755,0.6026,0.5845,0.6256,0.6205,1
"14",0.7659,0.8366,0.7148,0.5473,0.5772,0.5655,0.5749,0.5332,0.6138,1
"15",0.7613,0.482,0.7024,0.7399,0.6427,0.6294,0.5888,0.5555,0.6173,1
"16",0.7802,0.6933,0.7064,0.6017,0.7175,0.5998,0.5688,0.613,0.556,1
"17",0.7857,0.7222,0.7759,0.6057,0.6456,0.6086,0.5041,0.5695,0.5888,1
"18",0.7719,0.6628,0.804,0.7869,0.5645,0.6134,0.5518,0.564,0.5641,1
"19",0.7823,0.6091,0.6601,0.7164,0.7063,0.586,0.6151,0.6053,0.5898,1
"20",0.8601,0.8384,0.7974,0.698,0.6101,0.5706,0.6314,0.6333,0.6384,1
"21",0.4146,0.4771,0.4802,0.5257,0.5053,0.5124,0.4883,0.494,0.5147,2
"22",0.3797,0.6971,0.6671,0.4907,0.5527,0.5882,0.4838,0.5948,0.569,2
"23",0.5143,0.4399,0.5372,0.5171,0.4881,0.5407,0.51,0.4885,0.5324,2
"24",0.6857,0.5739,0.5381,0.5458,0.5736,0.4903,0.5063,0.5091,0.5439,2
"25",0.5911,0.5185,0.5344,0.6198,0.5948,0.5437,0.5979,0.6242,0.5346,2
"26",0.6224,0.4316,0.5636,0.549,0.4946,0.5355,0.503,0.5815,0.5185,2
"27",0.3285,0.6054,0.4533,0.5123,0.5761,0.508,0.4633,0.5127,0.5292,2
"28",0.5501,0.5643,0.5038,0.6226,0.4921,0.4636,0.5048,0.5387,0.5372,2
"29",0.3785,0.5547,0.4677,0.5143,0.557,0.5345,0.5674,0.5535,0.5529,2
"30",0.5793,0.4521,0.5888,0.6204,0.5797,0.4908,0.538,0.6136,0.527,2
"31",0.5433,0.4806,0.4897,0.5106,0.5157,0.5091,0.494,0.5145,0.5077,2
"32",0.4052,0.618,0.6131,0.4739,0.5262,0.5511,0.4757,0.5687,0.5221,2
"33",0.5475,0.4594,0.5422,0.5566,0.5212,0.5771,0.5482,0.5069,0.4741,2
"34",0.6892,0.6135,0.5898,0.5362,0.5779,0.4975,0.5237,0.5667,0.5539,2
"35",0.6764,0.4848,0.5589,0.5818,0.6032,0.5591,0.6054,0.6088,0.543,2
"36",0.5768,0.5118,0.5287,0.5317,0.5064,0.566,0.4781,0.5568,0.5174,2
"37",0.3201,0.6179,0.4845,0.531,0.5977,0.527,0.5024,0.4977,0.5352,2
"38",0.4941,0.4801,0.5034,0.6268,0.5237,0.4728,0.5378,0.5389,0.538,2
"39",0.3154,0.5022,0.4636,0.5331,0.5232,0.5479,0.5392,0.557,0.5705,2
"40",0.5422,0.4356,0.5292,0.6201,0.5458,0.5057,0.5254,0.5778,0.524,2
