"","sweet","salt","sour","bitter","umami"
"1","3","3","3","5","1"
"2","4","0","1","2","2"
"3","2","2","1","0","0"
"4","2","2","1","0","4"
"5","3","2","1","4","1"
"6","0","0","2","1","2"
"7","2","3","5","0","5"
"8","2","0","1","0","3"
"9","4","3","2","3","0"
"10","1","1","0","0","0"
"11","1","2","2","0","4"
"12","3","2","4","2","3"
"13","1","1","2","0","1"
"14","1","1","1","0","1"
"15","1","2","2","2","0"
"16","2","3","2","4","2"
"17","3","2","4","1","3"
"18","2","4","2","0","4"
"19","0","0","1","0","0"
"20","3","3","3","1","2"
"21","3","1","2","2","2"
"22","2","2","2","2","3"
"23","3","2","3","1","3"
"24","3","5","3","3","2"
"25","2","4","4","4","3"
"26","2","2","2","4","1"
"27","2","4","4","2","3"
"28","0","3","3","3","1"
"29","1","5","5","1","5"
"30","1","2","2","3","1"
"31","3","5","4","1","4"
"32","3","4","3","0","4"
"33","1","2","4","0","2"
"34","2","1","3","3","1"
"35","1","0","2","0","1"
"36","0","3","2","2","2"
"37","5","5","4","3","4"
"38","3","1","3","1","3"
"39","5","3","4","1","3"
"40","2","4","1","4","5"
"41","3","5","3","4","2"
"42","2","2","2","0","2"
"43","3","2","3","4","0"
"44","3","3","4","4","2"
"45","3","1","4","2","3"
"46","3","5","3","2","1"
"47","3","3","2","1","3"
"48","4","5","5","0","0"
"49","4","2","3","1","4"
"50","2","1","0","0","2"
"51","1","3","1","3","2"
"52","2","2","2","0","2"
"53","2","0","0","1","3"
"54","3","4","2","1","2"
"55","2","4","4","3","3"
"56","3","4","3","2","1"
"57","3","4","3","0","1"
"58","1","3","2","1","3"
"59","4","3","3","1","4"
"60","2","0","3","2","0"
"61","3","1","2","3","2"
"62","2","3","2","1","2"
"63","5","3","0","3","2"
"64","1","1","2","3","1"
"65","1","0","1","0","3"
"66","4","4","1","1","1"
"67","4","4","3","0","3"
"68","2","3","3","2","0"
"69","2","4","4","1","2"
"70","2","2","2","1","2"
"71","2","3","3","1","3"
"72","2","1","2","0","1"
"73","0","1","0","1","1"
"74","0","2","3","4","0"
"75","3","2","2","0","1"
"76","4","4","5","1","3"
"77","2","2","0","0","2"
"78","4","4","3","0","4"
"79","2","5","2","4","1"
"80","4","4","5","2","4"
"81","1","3","4","5","3"
"82","1","1","3","0","2"
"83","5","5","3","3","3"
"84","1","3","3","4","1"
"85","1","2","3","4","0"
"86","3","2","2","2","1"
"87","2","3","4","2","1"
"88","0","3","3","1","1"
"89","2","3","3","0","0"
"90","4","5","2","0","1"
"91","2","1","1","2","1"
"92","2","3","2","0","1"
"93","2","2","2","2","0"
"94","4","3","1","3","2"
"95","3","2","3","0","1"
"96","3","5","4","1","3"
"97","2","4","2","0","1"
"98","1","0","0","0","0"
"99","2","3","2","2","1"
"100","2","0","3","0","1"
"101","1","0","1","1","3"
"102","2","4","5","0","3"
"103","2","4","2","2","4"
"104","2","4","3","2","2"
"105","5","3","3","0","1"
"106","2","2","2","2","0"
"107","1","3","3","3","1"
